B_Req,R_Priority,FP,Complexity,Time,Cost
1010,180,3,-0.023580719,0.3847333236909606,-0.019139859
1011,152,2,-1.244619821,-0.800951334,-1.175501732
1012,95,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
1013,115,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
1014,146,2,-0.023580719,-0.800951334,-0.56689022
1015,57,2,-0.023580719,-0.800951334,-0.56689022
1016,147,3,-0.023580719,0.3847333236909606,-0.019139859
1017,134,3,-0.023580719,0.3847333236909606,-0.019139859
1018,145,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
1019,68,2,-0.023580719,-0.800951334,-0.56689022
1020,62,3,-0.023580719,0.3847333236909606,-0.019139859
1021,32,3,-1.244619821,0.3847333236909606,-0.992918279
1022,168,4,1.1974583830783379,1.1751897618260156,1.563250073489697
1023,143,4,1.1974583830783379,1.1751897618260156,1.563250073489697
1024,171,4,-1.244619821,1.1751897618260156,-0.871195976
1025,5,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
1026,95,3,-1.244619821,0.3847333236909606,-0.992918279
1027,145,4,-0.023580719,1.1751897618260156,0.34602704870759515
1028,86,4,1.1974583830783379,1.1751897618260156,1.563250073489697
1029,44,3,-0.023580719,0.3847333236909606,-0.019139859
1030,6,4,1.1974583830783379,1.1751897618260156,1.563250073489697
1031,155,4,1.1974583830783379,1.1751897618260156,1.563250073489697
1032,91,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
1033,160,2,-1.244619821,-0.800951334,-1.175501732
1034,84,3,-0.023580719,0.3847333236909606,-0.019139859
1035,142,2,-1.244619821,-0.800951334,-1.175501732
1036,81,3,-1.244619821,0.3847333236909606,-0.992918279
1037,144,3,-1.244619821,0.3847333236909606,-0.992918279
1038,135,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
1039,133,3,-1.244619821,0.3847333236909606,-0.992918279
1040,20,4,-0.023580719,1.1751897618260156,0.34602704870759515
1041,91,3,-1.244619821,0.3847333236909606,-0.992918279
1042,44,2,1.1974583830783379,-0.800951334,0.041721293
1043,99,3,-1.244619821,0.3847333236909606,-0.992918279
1044,98,2,1.1974583830783379,-0.800951334,0.041721293
1045,172,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
1046,144,3,-1.244619821,0.3847333236909606,-0.992918279
1047,44,3,-0.023580719,0.3847333236909606,-0.019139859
1048,145,4,-1.244619821,1.1751897618260156,-0.871195976
1049,155,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
1050,100,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
1051,102,2,-0.023580719,-0.800951334,-0.56689022
1052,179,2,-1.244619821,-0.800951334,-1.175501732
1053,143,3,-0.023580719,0.3847333236909606,-0.019139859
1054,97,3,-1.244619821,0.3847333236909606,-0.992918279
1055,114,2,-1.244619821,-0.800951334,-1.175501732
1056,165,3,-1.244619821,0.3847333236909606,-0.992918279
1057,65,3,-0.023580719,0.3847333236909606,-0.019139859
1058,131,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
1059,72,2,-0.023580719,-0.800951334,-0.56689022
1060,163,2,1.1974583830783379,-0.800951334,0.041721293
1061,127,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
1062,62,3,-1.244619821,0.3847333236909606,-0.992918279
1063,183,2,1.1974583830783379,-0.800951334,0.041721293
1064,102,2,-1.244619821,-0.800951334,-1.175501732
1065,81,3,-0.023580719,0.3847333236909606,-0.019139859
1066,134,2,-0.023580719,-0.800951334,-0.56689022
1067,75,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
1068,130,3,-1.244619821,0.3847333236909606,-0.992918279
1069,46,3,-0.023580719,0.3847333236909606,-0.019139859
1070,149,4,-0.023580719,1.1751897618260156,0.34602704870759515
1071,68,2,-0.023580719,-0.800951334,-0.56689022
1072,126,3,-1.244619821,0.3847333236909606,-0.992918279
1073,63,2,1.1974583830783379,-0.800951334,0.041721293
1074,224,2,1.1974583830783379,-0.800951334,0.041721293
1075,95,3,-0.023580719,0.3847333236909606,-0.019139859
1076,26,4,1.1974583830783379,1.1751897618260156,1.563250073489697
